pair	timestamp	bid	ask	last_trade	rolling_24_hour_volume	status
XRPZAR	1655908306719	5.30000000	5.31000000	5.30000000	2925863.00000000	ACTIVE
XRPZAR	1655910142594	5.26000000	5.27000000	5.27000000	2866393.00000000	ACTIVE
XRPZAR	1655911979327	5.25000000	5.27000000	5.27000000	2858130.00000000	ACTIVE
XRPZAR	1655913815786	5.23000000	5.24000000	5.24000000	2893588.00000000	ACTIVE
XRPZAR	1655915652769	5.23000000	5.24000000	5.24000000	3001348.00000000	ACTIVE
XRPZAR	1655917491473	5.22000000	5.23000000	5.23000000	2929604.00000000	ACTIVE
XRPZAR	1655919335898	5.24000000	5.25000000	5.24000000	3104824.00000000	ACTIVE
XRPZAR	1655921179082	5.22000000	5.23000000	5.23000000	3101868.00000000	ACTIVE
XRPZAR	1655923018135	5.24000000	5.26000000	5.27000000	3070158.00000000	ACTIVE
XRPZAR	1655924858815	5.25000000	5.26000000	5.25000000	3032590.00000000	ACTIVE
XRPZAR	1655926697545	5.21000000	5.23000000	5.21000000	3023705.00000000	ACTIVE
XRPZAR	1655928537731	5.24000000	5.25000000	5.24000000	2753222.00000000	ACTIVE
XRPZAR	1655930380052	5.19000000	5.20000000	5.20000000	2727099.00000000	ACTIVE
XRPZAR	1655932221534	5.21000000	5.22000000	5.22000000	2851307.00000000	ACTIVE
XRPZAR	1655934063588	5.20000000	5.21000000	5.21000000	2887177.00000000	ACTIVE
XRPZAR	1655935904639	5.27000000	5.28000000	5.27000000	2907775.00000000	ACTIVE
XRPZAR	1655937748910	5.25000000	5.27000000	5.26000000	2911461.00000000	ACTIVE
XRPZAR	1655939590894	5.27000000	5.28000000	5.28000000	2901831.00000000	ACTIVE
XRPZAR	1655941433438	5.24000000	5.25000000	5.24000000	2888410.00000000	ACTIVE
XRPZAR	1655943274662	5.25000000	5.26000000	5.26000000	2845296.00000000	ACTIVE
XRPZAR	1655945118609	5.30000000	5.31000000	5.31000000	2653626.00000000	ACTIVE
XRPZAR	1655946963134	5.29000000	5.30000000	5.30000000	2601112.00000000	ACTIVE
XRPZAR	1655948806203	5.32000000	5.33000000	5.32000000	2605900.00000000	ACTIVE
XRPZAR	1655950649223	5.27000000	5.28000000	5.27000000	2625611.00000000	ACTIVE
XRPZAR	1655952493336	5.27000000	5.28000000	5.28000000	2626553.00000000	ACTIVE
XRPZAR	1655954336505	5.24000000	5.25000000	5.25000000	2595634.00000000	ACTIVE
XRPZAR	1655956179360	5.24000000	5.26000000	5.25000000	2547178.00000000	ACTIVE
XRPZAR	1655958024376	5.28000000	5.29000000	5.28000000	2500687.00000000	ACTIVE
XRPZAR	1655959870254	5.30000000	5.32000000	5.31000000	2492802.00000000	ACTIVE
XRPZAR	1655961717093	5.30000000	5.31000000	5.31000000	2503189.00000000	ACTIVE
XRPZAR	1655963562222	5.30000000	5.31000000	5.31000000	2536771.00000000	ACTIVE
XRPZAR	1655965407049	5.30000000	5.31000000	5.30000000	2502309.00000000	ACTIVE
XRPZAR	1655967251829	5.30000000	5.31000000	5.32000000	2494240.00000000	ACTIVE
XRPZAR	1655969098631	5.29000000	5.31000000	5.31000000	2475606.00000000	ACTIVE
XRPZAR	1655970944665	5.30000000	5.31000000	5.31000000	2468079.00000000	ACTIVE
XRPZAR	1655972791935	5.33000000	5.34000000	5.34000000	2454609.00000000	ACTIVE
XRPZAR	1655974640718	5.33000000	5.35000000	5.34000000	2484486.00000000	ACTIVE
XRPZAR	1655976488976	5.33000000	5.34000000	5.34000000	2353574.00000000	ACTIVE
XRPZAR	1655978335996	5.34000000	5.35000000	5.35000000	2381793.00000000	ACTIVE
XRPZAR	1655980184006	5.35000000	5.36000000	5.36000000	2411963.00000000	ACTIVE
XRPZAR	1655982033383	5.35000000	5.36000000	5.36000000	2450456.00000000	ACTIVE
XRPZAR	1655983881068	5.34000000	5.35000000	5.35000000	2498089.00000000	ACTIVE
XRPZAR	1655985730187	5.34000000	5.35000000	5.35000000	2398422.00000000	ACTIVE
XRPZAR	1655987579922	5.37000000	5.38000000	5.38000000	2420565.00000000	ACTIVE
XRPZAR	1655989431716	5.35000000	5.36000000	5.36000000	2410735.00000000	ACTIVE
XRPZAR	1655991281193	5.33000000	5.34000000	5.34000000	2388316.00000000	ACTIVE
XRPZAR	1655993130600	5.31000000	5.32000000	5.31000000	2402630.00000000	ACTIVE
XRPZAR	1655994981774	5.30000000	5.31000000	5.31000000	2384209.00000000	ACTIVE
XRPZAR	1655996832540	5.31000000	5.32000000	5.31000000	2353382.00000000	ACTIVE
XRPZAR	1655998681536	5.29000000	5.30000000	5.30000000	2409205.00000000	ACTIVE
XRPZAR	1656000533105	5.28000000	5.29000000	5.29000000	2293113.00000000	ACTIVE
XRPZAR	1656002383981	5.29000000	5.30000000	5.29000000	2169776.00000000	ACTIVE
XRPZAR	1656004234340	5.31000000	5.32000000	5.32000000	2136733.00000000	ACTIVE
XRPZAR	1656006086535	5.30000000	5.31000000	5.31000000	1955853.00000000	ACTIVE
XRPZAR	1656007937607	5.33000000	5.34000000	5.33000000	1897433.00000000	ACTIVE
XRPZAR	1656009790654	5.33000000	5.34000000	5.33000000	1924870.00000000	ACTIVE
XRPZAR	1656011641753	5.35000000	5.36000000	5.36000000	1940061.00000000	ACTIVE
